trn_no|acc_no|cus_no|brn_cd|trn_type|trn_dt|trn_time|amt|trn_desc|chn|gndr|age
1000397185520021516|135566817347|6911974770|00449836|DEBIT|2023-06-10T00:00:00.000Z|150515|100|PAYMENT|IB|FEMALE|51
10009448378864689316|183264629830|9919501476|00339201|DEBIT|2023-07-11T00:00:00.000Z|33714|500|FUND TRANSFER|IB|MALE|53
10014592218323117335|463122589215|9926739320|00449836|DEBIT|2023-08-27T00:00:00.000Z|155150|300|PAYMENT|IB|FEMALE|53
10017545544944981640|461697795470|4349273411|00339201|CREDIT|2023-07-29T00:00:00.000Z|215843|5000|FUND TRANSFER|IB|MALE|56
10026211495480008202|513072841203|5591584008|00449836|CREDIT|2023-07-28T00:00:00.000Z|125259|70|FUND TRANSFER|IB|MALE|48
10039557073291548819|449213583433|4825468780|00449836|DEBIT|2023-07-05T00:00:00.000Z|223117|1000.02|PAYMENT|IB|MALE|51
1004190182934503362|455197916236|7010923933|00449836|CREDIT|2023-08-17T00:00:00.000Z|184505|160.41|FUND TRANSFER|IB|FEMALE|48
10048042914843863098|743261936180|4407144912|00449836|CREDIT|2023-08-23T00:00:00.000Z|132553|100|FUND TRANSFER|IB|MALE|57
10053759401741184743|652202114711|9350512395|00449836|DEBIT|2023-08-06T00:00:00.000Z|214501|180|FUND TRANSFER|IB|MALE|56
1005465732271635475|530374001406|2854104473|00449836|DEBIT|2023-07-04T00:00:00.000Z|150752|866|FUND TRANSFER|IB|MALE|52
1006500596989950821|845059346432|7650679788|00449836|DEBIT|2023-08-03T00:00:00.000Z|145534|2400|FUND TRANSFER|IB|MALE|57
10082646671702463781|119414046114|3481072690|00339201|CREDIT|2023-06-15T00:00:00.000Z|222050|280|FUND TRANSFER|IB|MALE|46
10090048999964716893|687604407571|5962909511|00339201|DEBIT|2023-08-28T00:00:00.000Z|101328|850|FUND TRANSFER|IB|MALE|55
10091175151701470685|193345169178|7513227576|00339201|DEBIT|2023-06-28T00:00:00.000Z|81302|2500|FUND TRANSFER|IB|MALE|36
10096482812596385398|522718116615|1115484504|00449836|DEBIT|2023-07-21T00:00:00.000Z|155508|800|FUND TRANSFER|IB|MALE|39
1010207442493969019|386386132868|5128848091|00339201|DEBIT|2023-07-21T00:00:00.000Z|221459|300|FUND TRANSFER|IB|MALE|69
1012885846792579898|302075399531|6998723387|00339201|DEBIT|2023-08-02T00:00:00.000Z|234340|1760|FUND TRANSFER|IB|FEMALE|50
10131952957136402470|513072841203|5591584008|00449836|DEBIT|2023-07-02T00:00:00.000Z|100333|50|FUND TRANSFER|IB|MALE|48
10142019629264526008|193345169178|7513227576|00339201|DEBIT|2023-06-11T00:00:00.000Z|112801|7|FUND TRANSFER|IB|MALE|36
1015543464885541038|784356329044|3299539245|00339201|DEBIT|2023-08-15T00:00:00.000Z|102945|401|FUND TRANSFER|IB|FEMALE|62
10157694181128590800|455197916236|7010923933|00339201|CREDIT|2023-07-30T00:00:00.000Z|141224|433|FUND TRANSFER|IB|FEMALE|48
10161943945448508952|775562414273|7194794461|00339201|DEBIT|2023-07-25T00:00:00.000Z|215801|1300|FUND TRANSFER|IB|MALE|40
10168548529729965881|268624875891|4360370438|00449836|DEBIT|2023-08-23T00:00:00.000Z|101149|10000|FUND TRANSFER|IB|MALE|59
10173681556787920905|292536761290|8438416622|00339201|DEBIT|2023-07-31T00:00:00.000Z|92854|1600|FUND TRANSFER|IB|MALE|51
10192398639232928071|511078222839|2408137037|00449836|DEBIT|2023-07-10T00:00:00.000Z|150231|95|FUND TRANSFER|IB|FEMALE|51
10195183076117216617|455197916236|7010923933|00449836|CREDIT|2023-06-23T00:00:00.000Z|83116|210|FUND TRANSFER|IB|FEMALE|48
10195250111635771612|975681872782|8377869784|00339201|DEBIT|2023-07-05T00:00:00.000Z|140334|30|FUND TRANSFER|IB|MALE|53
10203212922599780741|119414046114|3481072690|00339201|DEBIT|2023-08-30T00:00:00.000Z|130116|850|FUND TRANSFER|IB|MALE|46
10221274499410132145|640599347910|7533323698|00339201|DEBIT|2023-08-24T00:00:00.000Z|110301|200|FUND TRANSFER|IB|MALE|65
10226863067514532245|673125233646|2631583662|00339201|DEBIT|2023-08-11T00:00:00.000Z|65319|2000|FUND TRANSFER|IB|MALE|63
10238843539054567541|268674498118|4732103968|00449836|DEBIT|2023-06-18T00:00:00.000Z|83504|37.2|FUND TRANSFER|IB|FEMALE|46
10239295656610537792|522778700730|1834078429|00449836|DEBIT|2023-08-31T00:00:00.000Z|200749|62|PAYMENT|IB|MALE|52
1024345334406457868|962553283252|3440929190|00339201|CREDIT|2023-08-25T00:00:00.000Z|142709|79.5|FUND TRANSFER|IB|FEMALE|52
10249563997272149610|847156074323|7223055588|00339201|DEBIT|2023-06-19T00:00:00.000Z|120457|150|FUND TRANSFER|IB|MALE|60
