trn_no,acc_no,cus_no,brn_cd,trn_type,trn_dt,trn_time,amt,trn_desc,chn,gndr,age,trn_datetime
59964350751332031069,119414046114,3481072690.0,339201,DEBIT,2023-06-01 00:00:00+00:00,04:21:46,1000.0,FUND TRANSFER,IB,MALE,46.0,2023-06-01 04:21:46
30014141532007347461,119414046114,3481072690.0,449836,DEBIT,2023-06-01 00:00:00+00:00,04:21:46,220.0,FUND TRANSFER,IB,MALE,46.0,2023-06-01 04:21:46
27071952754857989209,119414046114,3481072690.0,339201,DEBIT,2023-06-01 00:00:00+00:00,04:21:46,1000.0,FUND TRANSFER,IB,MALE,46.0,2023-06-01 04:21:46
26135697839595961184,119414046114,3481072690.0,339201,DEBIT,2023-06-01 00:00:00+00:00,04:21:46,1200.0,FUND TRANSFER,IB,MALE,46.0,2023-06-01 04:21:46
53837758937772845812,119414046114,3481072690.0,449836,DEBIT,2023-06-01 00:00:00+00:00,04:21:49,180.0,PAYMENT,IB,MALE,46.0,2023-06-01 04:21:49
22014401993084404132,119414046114,3481072690.0,449836,DEBIT,2023-06-01 00:00:00+00:00,04:21:49,250.0,PAYMENT,IB,MALE,46.0,2023-06-01 04:21:49
50257967914797256196,962553283252,3440929190.0,339201,CREDIT,2023-06-01 00:00:00+00:00,04:39:18,232.0,FUND TRANSFER,IB,FEMALE,52.0,2023-06-01 04:39:18
40937078194584202965,962553283252,3440929190.0,339201,CREDIT,2023-06-01 00:00:00+00:00,04:39:20,292.0,FUND TRANSFER,IB,FEMALE,52.0,2023-06-01 04:39:20
69022197834384079110,696282610710,3911304863.0,449836,CREDIT,2023-06-01 00:00:00+00:00,05:17:37,1000.0,FUND TRANSFER,IB,FEMALE,49.0,2023-06-01 05:17:37
73993698217841353275,696282610710,3911304863.0,449836,DEBIT,2023-06-01 00:00:00+00:00,05:19:14,1000.0,FUND TRANSFER,IB,FEMALE,49.0,2023-06-01 05:19:14
96378247141181231066,511078222839,2408137037.0,339201,DEBIT,2023-06-01 00:00:00+00:00,05:55:19,240.0,FUND TRANSFER,IB,FEMALE,51.0,2023-06-01 05:55:19
16049860234762163314,302075399531,6998723387.0,339201,CREDIT,2023-06-01 00:00:00+00:00,07:07:21,1060.0,FUND TRANSFER,IB,FEMALE,50.0,2023-06-01 07:07:21
89828281106263725682,302075399531,6998723387.0,339201,CREDIT,2023-06-01 00:00:00+00:00,07:28:59,1000.0,FUND TRANSFER,IB,FEMALE,50.0,2023-06-01 07:28:59
28109674419494999945,268624875891,4360370438.0,449836,DEBIT,2023-06-01 00:00:00+00:00,07:50:42,120.0,FUND TRANSFER,IB,MALE,59.0,2023-06-01 07:50:42
7441526605228725065,268624875891,4360370438.0,449836,DEBIT,2023-06-01 00:00:00+00:00,07:53:01,210.0,FUND TRANSFER,IB,MALE,59.0,2023-06-01 07:53:01
2740929536821705725,893984870415,3919077928.0,631233,DEBIT,2023-06-01 00:00:00+00:00,07:59:27,100.0,SALE DEBIT,POS,MALE,53.0,2023-06-01 07:59:27
52645689466159551617,623177710549,7832073932.0,339201,DEBIT,2023-06-01 00:00:00+00:00,08:01:27,1300.0,FUND TRANSFER,IB,MALE,39.0,2023-06-01 08:01:27
56235998478777993655,546573630371,2711720727.0,449836,DEBIT,2023-06-01 00:00:00+00:00,08:05:48,186.63,PAYMENT,IB,FEMALE,60.0,2023-06-01 08:05:48
537863324130265421,546573630371,2711720727.0,449836,DEBIT,2023-06-01 00:00:00+00:00,08:08:24,1300.0,FUND TRANSFER,IB,FEMALE,60.0,2023-06-01 08:08:24
26087572473873272325,546573630371,2711720727.0,339201,DEBIT,2023-06-01 00:00:00+00:00,08:10:10,2000.0,FUND TRANSFER,IB,FEMALE,60.0,2023-06-01 08:10:10
65722821953603717116,976461201839,2456185095.0,339201,CREDIT,2023-06-01 00:00:00+00:00,08:12:55,1500.0,FUND TRANSFER,IB,FEMALE,46.0,2023-06-01 08:12:55
35615615542276162020,976461201839,2456185095.0,339201,DEBIT,2023-06-01 00:00:00+00:00,08:19:33,450.0,FUND TRANSFER,IB,FEMALE,46.0,2023-06-01 08:19:33
89840098153659631176,119414046114,3481072690.0,339201,DEBIT,2023-06-01 00:00:00+00:00,08:21:44,1000.0,FUND TRANSFER,IB,MALE,46.0,2023-06-01 08:21:44
1606555452722150991,976461201839,2456185095.0,339201,DEBIT,2023-06-01 00:00:00+00:00,08:21:52,1000.0,FUND TRANSFER,IB,FEMALE,46.0,2023-06-01 08:21:52
69887792859152482123,976461201839,2456185095.0,339201,DEBIT,2023-06-01 00:00:00+00:00,08:26:01,100.0,FUND TRANSFER,IB,FEMALE,46.0,2023-06-01 08:26:01
2334359922445007913,976461201839,2456185095.0,339201,DEBIT,2023-06-01 00:00:00+00:00,08:29:49,100.0,FUND TRANSFER,IB,FEMALE,46.0,2023-06-01 08:29:49
77547536458748730011,545603642451,1569132284.0,339201,CREDIT,2023-06-01 00:00:00+00:00,08:44:12,1400.0,FUND TRANSFER,IB,MALE,36.0,2023-06-01 08:44:12
